date,time,chamber,h2o avg[ppm],n2o avg [ppm],pcavitytamb[kpa],tcavity[degC],plaser[kpa],tlaser[degC],status
21/03/2025,08:00:06,1021,19433.7,372.346,39.82,55.00,28.02,38.15,0
21/03/2025,08:00:11,1021,21050.3,375.338,39.82,55.00,28.03,38.15,0
21/03/2025,08:00:16,1021,20115.5,379.753,39.81,55.00,28.03,38.15,0
21/03/2025,08:00:21,1021,20116.0,380.286,39.81,55.00,28.03,38.15,0
21/03/2025,08:00:26,1021,20205.1,382.347,39.81,55.00,28.03,38.15,0
21/03/2025,08:00:31,1021,20338.6,386.083,39.81,55.00,28.03,38.15,0
21/03/2025,08:00:36,1021,20487.1,389.820,39.81,55.00,28.03,38.15,0
21/03/2025,08:00:41,1021,20638.3,393.735,39.81,55.00,28.03,38.15,0
21/03/2025,08:00:46,1021,20807.0,396.751,39.81,55.00,28.03,38.15,0
21/03/2025,08:00:51,1021,20967.1,398.692,39.81,55.00,28.03,38.15,0
21/03/2025,08:00:56,1021,21121.6,399.716,39.81,55.00,28.02,38.15,0
21/03/2025,08:01:01,1021,21264.5,398.648,39.81,55.00,28.02,38.15,0
21/03/2025,08:01:06,1021,21394.0,396.113,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:11,1021,21502.9,392.872,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:16,1021,21580.1,389.605,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:21,1021,21631.6,386.470,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:26,1021,21666.8,383.659,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:31,1021,21694.5,381.146,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:36,1021,21717.3,378.842,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:41,1021,21739.0,376.746,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:46,1021,21760.5,374.771,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:51,1021,21780.3,372.962,39.81,55.00,28.01,38.15,0
21/03/2025,08:01:56,1021,21797.8,371.312,39.81,55.00,28.01,38.15,0
21/03/2025,08:02:01,1021,21814.7,369.816,39.82,55.00,28.02,38.15,0
21/03/2025,08:02:06,1021,21831.6,368.352,39.82,55.00,28.02,38.15,0
21/03/2025,08:02:11,1021,21846.7,367.038,39.82,55.00,28.02,38.15,0
21/03/2025,08:02:16,1021,21859.6,365.830,39.82,55.00,28.02,38.15,0
21/03/2025,08:02:21,1021,21873.1,364.771,39.82,55.00,28.02,38.15,0
21/03/2025,08:02:26,1021,21886.3,363.630,39.82,55.00,28.02,38.15,0
21/03/2025,08:02:31,1021,21896.3,362.622,39.82,55.00,28.02,38.15,0
21/03/2025,08:02:36,1021,21906.5,361.852,39.82,55.00,28.02,38.15,0
21/03/2025,08:02:41,1021,21914.3,360.978,39.82,55.00,28.02,38.15,0
21/03/2025,08:02:46,1021,21920.9,360.235,39.82,55.00,28.02,38.15,0
